"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"August 17, 2018",Louisiana,"West Monroe","Philpot Rd",1,0,N/A
"August 16, 2018",Virginia,Richmond,"5600 block of Handel Ct",1,0,N/A
"August 15, 2018",Kentucky,Louisville,"1708 S 32nd St",1,0,N/A
"August 15, 2018",Ohio,Columbus,"1200 block of Berkeley Rd",1,0,N/A
"August 14, 2018",Michigan,Pontiac,"40 block of Sallee Ln",1,0,N/A
"August 14, 2018",Washington,"Seattle (Burien)","12600 block of 12th Avenue South",1,0,N/A
"August 11, 2018",Kentucky,Corbin,"Peggy Lane",1,0,N/A
"August 10, 2018",Michigan,Detroit,"11000 block of Hubbell Avenue",1,0,N/A
"August 9, 2018",Ohio,Barberton,"27th Street Northwest",1,0,N/A
"August 8, 2018",Tennessee,"La Follette (LaFollette)","2221 Jacksboro Pike",1,0,N/A
"August 5, 2018",Texas,Weatherford,"100 block of Dill Rd",1,0,N/A
"August 4, 2018",Tennessee,"Big Rock","400 block of Highway 120",1,0,N/A
"August 3, 2018",Alabama,"Winston (county)","Co Rd 41 and Co Rd 3812",1,0,N/A
"August 3, 2018",Delaware,Wilmington,"1300 block of E 27th St",1,0,N/A
"July 28, 2018",Georgia,Savannah,"600 block of Plantation Dr",1,0,N/A
"July 28, 2018",Missouri,"Florissant (Black Jack)","4700 block of Bristol Rock Rd",1,0,N/A
"July 27, 2018","North Carolina",Marion,"Reid St",1,0,N/A
"July 27, 2018",Arkansas,"Benton (Haskell)","Meadow Creek Ct",1,0,N/A
"July 27, 2018",Alaska,Anchorage,"900 block of Chugach Way",1,0,N/A
"July 26, 2018",Arkansas,"Cotton Plant (Maberry)","CR 794",1,0,N/A
"July 24, 2018",Maine,Oakland,"19 Church St",1,0,N/A
"July 24, 2018",Texas,Conroe,"1100 S Loop 336",1,0,N/A
"July 20, 2018",California,"San Bernardino (Muscoy)","2700 block of Duffy St",1,0,N/A
"July 20, 2018",Oregon,"Rocky Point",N/A,1,0,N/A
"July 15, 2018",Ohio,Cleveland,"6500 block of Newman Ave",1,0,N/A
"July 15, 2018",Oklahoma,Bethany,"2004 N Wilburn Ave",1,0,N/A
"July 14, 2018",Michigan,"Muskegon (Muskegon Heights)","Wood St",1,0,N/A
"July 13, 2018",Indiana,Salem,"5000 block of S PD Baker Rd",1,0,N/A
"July 12, 2018",Georgia,"Warner Robins","100 block of Windsor Dr",1,0,N/A
"July 10, 2018",Oklahoma,"Oklahoma City","2400 block of S St Clair Ave",1,0,N/A
"July 9, 2018",Michigan,Pontiac,"100 block of Willard St",1,0,N/A
"July 8, 2018",Texas,Houston,"8400 block of Knox St",1,0,N/A
"July 8, 2018",Georgia,Columbus,"6029 Flat Rock Rd",1,0,N/A
"July 7, 2018",Missouri,Columbia,"700 block of Hulen Dr",1,0,N/A
"July 7, 2018",Georgia,Augusta,"3100 block of Skinner Mill Rd",1,0,N/A
"July 7, 2018",California,Fresno,"382 W Audubon Drive",1,0,N/A
"July 5, 2018",Washington,"Kent (Covington)","17400 block of SE Wax Rd",1,0,N/A
"July 5, 2018",Louisiana,Chalmette,"500 block of Pierre St",1,0,N/A
