"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"August 17, 2018","South Carolina",Cordova,N/A,0,1,N/A
"August 17, 2018","South Carolina",Lexington,"1201 W Main St",0,1,N/A
"August 17, 2018",Tennessee,"Pigeon Forge",N/A,0,1,N/A
"August 17, 2018",Alaska,Dillingham,"Snake Lake Rd",0,1,N/A
"August 16, 2018","West Virginia",Grafton,"W Main St",0,1,N/A
"August 16, 2018","New Hampshire",Manchester,"39 Walnut St",0,1,N/A
"August 15, 2018",Washington,Bremerton,"West Belfair Valley Rd",0,1,N/A
"August 13, 2018",Michigan,Detroit,"12000 block of Laing",0,1,N/A
"August 13, 2018",Ohio,Toledo,"3700 block of N Erie St",0,2,N/A
"August 13, 2018",Ohio,Toledo,"200 block of Van Buren Ave",0,1,N/A
"August 13, 2018",Texas,Nome,"US-90 and TX-326",0,1,N/A
"August 12, 2018","South Carolina",Beaufort,"2448 Boundary St",0,1,N/A
"August 12, 2018",Ohio,Caldwell,"Devolld Cemetery Rd",0,0,N/A
"August 12, 2018",Ohio,Caldwell,"Devolld Cemetery R",0,1,N/A
"August 12, 2018",Illinois,Chicago,"7200 block of S Coles Ave",0,1,N/A
"August 11, 2018",Michigan,Jackson,"E Michigan Ave and Cooper St",0,1,N/A
"August 10, 2018",Texas,"San Antonio",N/A,0,1,N/A
"August 10, 2018",Iowa,"Des Moines","2100 block of York St",0,1,N/A
"August 9, 2018",California,"Red Bluff","1600 block of Elva Avenue",0,1,N/A
"August 9, 2018",California,Salinas,"East Lake St and Soledad St",0,1,N/A
"August 9, 2018",Ohio,Lancaster,N/A,0,1,N/A
"August 9, 2018","North Dakota",Williston,"2300 block of 17th Ave W",0,1,N/A
"August 8, 2018",Texas,"San Antonio","2300 block of W Salinas",0,1,N/A
"August 8, 2018","North Carolina","Forest City","175 Lakeview Dr",1,1,N/A
"August 7, 2018",Tennessee,Murfreesboro,"915 N Thompson Ln",0,2,N/A
"August 7, 2018",Michigan,Detroit,"16000 block of Trinity St",0,1,N/A
"August 5, 2018",Mississippi,Hattiesburg,"3800 block of W 4th St",0,1,N/A
"August 5, 2018",Washington,"Seattle (Burien)","14600 block of 1st Ave S",0,3,N/A
"August 4, 2018","New Jersey","Fair Lawn","Rose Pl",0,2,N/A
"August 4, 2018","South Carolina",Columbia,"206 Jamil Rd",0,1,N/A
"August 4, 2018",California,Carlsbad,"5500 block of Whitman Way",1,2,N/A
"August 4, 2018",Louisiana,Shreveport,"2700 block of Murray St",0,2,N/A
"August 3, 2018",Idaho,Nampa,"500 block of S 17th Ave",0,1,N/A
"August 3, 2018",Indiana,Indianapolis,"2400 block of Coyner Ave",0,1,N/A
"August 3, 2018",Ohio,Ashtabula,N/A,0,1,N/A
"August 3, 2018",Texas,Bryan,"4333 Wellborn Rd",0,1,N/A
"August 2, 2018",Kansas,Kinsley,"E 4th St",0,1,N/A
"August 2, 2018",Texas,"San Antonio","9100 block of Bridlewood Ln",0,0,N/A
"August 2, 2018",Illinois,Chicago,"3600 block of S Union Ave",0,1,N/A
"August 2, 2018",Texas,"San Antonio","9100 block of Bridlewood Ln",0,3,N/A
"August 1, 2018",Texas,"El Paso","1100 N Yarbrough Dr",0,1,N/A
"August 1, 2018",Indiana,"South Bend","100 block of W Dayton St",0,1,N/A
"August 1, 2018",Georgia,Columbus,"1200 Warren Williams Rd",0,1,N/A
"July 31, 2018",Texas,Tomball,"19435 Ambrosia Falls Dr",0,1,N/A
"July 31, 2018",Tennessee,Murfreesboro,"1000 block of Grantland Ave",0,1,N/A
"July 31, 2018",Indiana,Anderson,"1040 Main St",0,1,N/A
"July 31, 2018",Kentucky,Berea,"100 block of Long Hollow Rd",0,1,N/A
"July 30, 2018",Maine,Lewiston,"585 Main St",0,1,N/A
"July 30, 2018",Wisconsin,Milwaukee,"Burleigh and Holton",0,2,N/A
"July 29, 2018",Kansas,Lenexa,N/A,0,1,N/A
"July 29, 2018",Virginia,Portsmouth,"1400 block of Lake Forest Drive",0,1,N/A
"July 29, 2018",Michigan,Alto,"8313 Pratt Lake Ave",0,1,N/A
"July 28, 2018",Virginia,Richmond,"4000 block of Lamplighter Dr",0,1,N/A
"July 28, 2018",Georgia,Newnan,"10 block of Ball St",0,1,N/A
"July 27, 2018",Colorado,"Castle Rock","600 block of Howe St",0,1,N/A
"July 27, 2018",Florida,"Miami (Doral)","10623 NW 12th St",0,1,N/A
"July 26, 2018",Florida,Eustis,"40000 block of Sunset Pl",0,1,N/A
"July 26, 2018",Missouri,Columbia,"Grindstone Pkwy and Rock Quarry Rd",0,1,N/A
"July 25, 2018",Missouri,"Saint Louis","11100 block of Mammoth Dr",0,1,N/A
"July 25, 2018",Texas,Houston,"10155 East Freeway",0,1,N/A
"July 25, 2018",Virginia,Chesapeake,"900 block of Paramont Ave",0,1,N/A
"July 25, 2018",Tennessee,Antioch,"Hamilton Chruch Rd",0,1,N/A
"July 25, 2018",Kentucky,Richmond,"900 block of Villa Drive",0,1,N/A
"July 24, 2018",Massachusetts,Amherst,"826 N Pleasant St",0,1,N/A
"July 24, 2018",California,Farmersville,"898 E Visalia Rd",1,2,N/A
"July 24, 2018",Virginia,Lynchburg,"1800 block of Rivermont Ave",0,1,N/A
"July 24, 2018",Ohio,Cincinnati,"4600 Paddock Rd",0,2,N/A
"July 24, 2018",Missouri,"Saint Louis","7880 Chatwell Dr",0,1,N/A
"July 24, 2018",Texas,"San Antonio","4507 N Loop 1604 E",0,1,N/A
"July 23, 2018",California,"Long Beach","700 block of E Medio St",0,1,N/A
"July 22, 2018",Virginia,"Roanoke (Hollins)","5700 block of Oakland Blvd",0,1,N/A
"July 22, 2018",Maryland,Hagerstown,"17000 block of Hillsdale Ct",0,1,N/A
"July 22, 2018",Ohio,Cleveland,"3300 block of E 66th St",0,1,N/A
"July 22, 2018",Alabama,Samson,N/A,0,2,N/A
"July 21, 2018",Michigan,Detroit,"5900 block of Elmer St",0,1,N/A
"July 21, 2018","New York",Bronx,"Sedgwick Avenue and West 183rd St",0,3,N/A
"July 21, 2018",Wisconsin,Milwaukee,"2300 block of N 18th St",0,1,N/A
"July 21, 2018",Massachusetts,Topsfield,"4 Juniper Ln",0,1,N/A
"July 21, 2018","South Carolina",Inman,"Holly Springs Church Rd",0,2,N/A
"July 20, 2018",Texas,Mcallen,"6100 block of N 46th St",0,1,N/A
"July 20, 2018",Alabama,"Cedar Bluff",N/A,0,1,N/A
"July 20, 2018",Tennessee,Knoxville,"341 Merchants Dr",0,1,N/A
"July 20, 2018","West Virginia",Morgantown,"Cheat Rd and Rolling Hill",0,1,N/A
"July 20, 2018",Texas,Mcallen,"6100 block of N 46th St",0,1,N/A
"July 19, 2018",Vermont,"Wells River","3334 US 302",0,1,N/A
"July 19, 2018",Mississippi,Corinth,"Co Rd 755",0,1,N/A
"July 18, 2018",Louisiana,"New Orleans","2400 block of Urquhart St",0,1,N/A
"July 18, 2018",Florida,Dunedin,"1144 New York Ave",0,1,N/A
"July 18, 2018",Massachusetts,"West Springfield","119 Daggett Dr",0,1,N/A
"July 18, 2018",Texas,Premont,"CR 418",0,1,N/A
"July 16, 2018",Colorado,"Colorado Springs","1300 block of Sandalwood Dr",0,1,N/A
"July 15, 2018",Georgia,Lindale,"128 Doyle Rd",0,2,N/A
"July 15, 2018",Mississippi,Greenville,"1400 block of Casavechia St",0,1,N/A
"July 15, 2018",Mississippi,Hattiesburg,"5901 US 49",0,1,N/A
"July 14, 2018",Oklahoma,Davis,"6714 OK-77D",0,1,N/A
"July 14, 2018",Tennessee,Knoxville,"2630 N Broadway",0,1,N/A
"July 14, 2018",Florida,"Lake Wales","Oleander Rd",0,2,N/A
"July 13, 2018",Wisconsin,Madison,"2139 E Springs Dr",0,1,N/A
"July 13, 2018","North Dakota",Minot,"500 block of 22nd Ave NW",0,1,N/A
"July 13, 2018","North Carolina",Charlotte,"1500 block of Burton Rd",0,1,N/A
"July 12, 2018",Tennessee,"Ashland City","Cannon Rd",0,1,N/A
"July 12, 2018",Wisconsin,Russell,N/A,0,1,N/A
"July 12, 2018",Georgia,Macon,"4500 block of Ayers Rd",0,1,N/A
"July 11, 2018",Louisiana,"New Orleans","2500 block of St Roch Ave",0,1,N/A
"July 11, 2018",Louisiana,"Lake Charles","Shattuck St",0,1,N/A
"July 11, 2018",Oregon,Umatilla,"Chenowith Ave",0,1,N/A
"July 11, 2018",Michigan,Coldwater,"Hodunk Rd",0,1,N/A
"July 11, 2018",Texas,"San Antonio","7109 W Loop 1604 N",0,1,N/A
"July 11, 2018",Maine,Ellsworth,"Gary Moore Rd",0,1,N/A
"July 10, 2018",Virginia,Hampton,"I-64 and Mercury Blvd",0,1,N/A
"July 10, 2018",Texas,Cypress,"31700 block of Dunham Lake Dr",0,1,N/A
"July 10, 2018",Colorado,"Colorado Springs","8200 block of Caravel Dr",0,1,N/A
"July 9, 2018","South Carolina","Mount Pleasant","8400 block of North Highway 17",0,1,N/A
"July 9, 2018",Texas,"San Antonio","400 block of Chalmers",0,1,N/A
"July 8, 2018",Texas,"San Antonio","5518 Culebra Rd",0,1,N/A
"July 8, 2018",Louisiana,Harvey,"Tallow Tree Ln and 21st St",0,1,N/A
"July 8, 2018",Iowa,"Des Moines","5452 NE 22nd St",0,2,N/A
"July 8, 2018",Iowa,Waterloo,"80 block of Ricker St",0,1,N/A
"July 7, 2018",Kansas,Wichita,"600th block of N Eisenhower St",0,1,N/A
"July 7, 2018",Kentucky,Shelbyville,N/A,0,1,N/A
"July 7, 2018","South Carolina","Myrtle Beach","107 S Ocean Blvd",0,1,N/A
"July 6, 2018",Ohio,Cleveland,"Nathaniel Rd and St Clair Ave",0,1,N/A
"July 5, 2018","New Mexico",Clovis,"Paseo Village",1,0,N/A
"July 5, 2018",Oklahoma,Tulsa,"5600 block of N Garrison Ct",0,1,N/A
"July 5, 2018",Texas,Killeen,"5300 block of Waterbank Lane",0,1,N/A
"July 4, 2018",Florida,Tampa,"10165 McKinley Dr",0,1,N/A
"July 4, 2018",Washington,Renton,"13800 171st Ave SE",0,1,N/A
"July 4, 2018",Tennessee,Morristown,"807 Cleveland Ave",0,1,N/A
"July 4, 2018",Florida,"Boynton Beach","100 block of NE 11th Ave",0,1,N/A
"July 4, 2018",Pennsylvania,Ephrata,"39 E Queen St",0,2,N/A
"July 4, 2018",Texas,Houston,"4200 San Jacinto St",0,1,N/A
"July 4, 2018",Connecticut,Hartford,"1620 Main St",0,1,N/A
"July 4, 2018",Idaho,"Idaho Falls",N/A,0,1,N/A
"July 4, 2018","South Carolina",Florence,"Kuker Street",0,2,N/A
"July 3, 2018",Georgia,Roswell,"1275 Upper Hembree Rd",1,1,N/A
"July 3, 2018",Colorado,"Colorado Springs","Nonchalant Cir N",0,1,N/A
"July 2, 2018",Illinois,Chicago,"7400 block of S Rockwell St",0,1,N/A
"July 2, 2018",Mississippi,Saucier,"Reese Dr and Rashelle St",0,1,N/A
"July 1, 2018",Wisconsin,Racine,N/A,0,1,N/A
"July 1, 2018",Utah,Tooele,"684 American Way",0,1,N/A
"July 1, 2018",Missouri,Columbia,N/A,0,1,N/A
"July 1, 2018","New York",Rochester,"Frost and Jefferson Aves",0,1,N/A
"July 1, 2018",Maine,Portland,"Cumberland Ave and Mayo St",0,2,N/A
"June 30, 2018",Tennessee,Nashville,N/A,0,1,N/A
"June 30, 2018",Tennessee,Nashville,"2100 Waterford Cir",0,1,N/A
"June 30, 2018",Virginia,Richmond,"300 block of E 9th St",0,1,N/A
"June 30, 2018",Ohio,Shadyside,"200 W 36th St",0,1,N/A
"June 29, 2018","North Carolina",Lumberton,"Panther Ln",0,1,N/A
"June 29, 2018",Texas,Bryan,"E 26th Dr",0,1,N/A
"June 29, 2018",Tennessee,Lexington,"547 W Church St",0,1,N/A
"June 28, 2018","South Carolina",Columbia,"6012 N Main St",0,1,N/A
"June 28, 2018",Wisconsin,Racine,"3300 block of Pierce Blvd",0,1,N/A
"June 28, 2018",Kansas,Salina,"8429 W Farrelly Rd",0,1,N/A
"June 27, 2018",Ohio,Columbus,"1131 Polaris Pkwy",0,2,N/A
"June 27, 2018",Missouri,"Saint Louis","3200 block of S Kingshighway Blvd",0,1,N/A
"June 26, 2018",Louisiana,Shreveport,"246 E 70th St",0,1,N/A
"June 26, 2018",Virginia,Stafford,"1300 Courthouse Rd",0,1,N/A
"June 26, 2018",Nevada,"Las Vegas","7900 block of Terrace Way",0,1,N/A
"June 26, 2018",Colorado,"Colorado Springs","3800 block of Surrey Ln",0,1,N/A
"June 24, 2018",Oklahoma,"Oklahoma City","2500 block of NW 41st St",0,1,N/A
"June 24, 2018",Connecticut,Waterbury,"27 Yale St",0,1,N/A
"June 24, 2018",Florida,Melbourne,"200 block of E University Blvd",0,1,N/A
"June 24, 2018",Nevada,"Las Vegas","1000 block of Naylor Ct",0,3,N/A
"June 23, 2018","South Carolina","Myrtle Beach","1155 Dick Pond Rd",0,1,N/A
"June 23, 2018",Wisconsin,Milwaukee,N/A,0,1,N/A
"June 23, 2018",Louisiana,"Port Barre",N/A,0,1,N/A
"June 23, 2018",Louisiana,Shreveport,"100 block of Flournoy Lucas Rd",0,1,N/A
"June 22, 2018",Idaho,Cataldo,"S Robinson Creek Rd",0,1,N/A
"June 22, 2018",Michigan,"Grand Rapids","Madison Ave SE and Dickinson St SE",0,1,N/A
"June 21, 2018","West Virginia","Charleston (Cross Lanes)","5400 block of Dalewood Dr",0,2,N/A
"June 21, 2018",Ohio,Toledo,"2301 Nebraska Ave",0,1,N/A
"June 21, 2018",Indiana,Gary,"10th Ave",0,1,N/A
"June 21, 2018",California,Fresno,"400 block of N Dearing Ave",0,1,N/A
"June 20, 2018","New York",Wurtsboro,"Lakeshore Dr",0,1,N/A
"June 19, 2018",Virginia,Henrico,"Glenside Dr & W Broad St",0,1,N/A
"June 19, 2018",Iowa,"Iowa City","Valley Avenue",0,1,N/A
"June 18, 2018",Illinois,"Mount Vernon","1100 block of S 24th St",0,1,N/A
"June 18, 2018",Ohio,Cleveland,"2710 block of Cedar Ave",0,1,N/A
"June 18, 2018",Pennsylvania,Harrisburg,"1803 Boas Street",0,1,N/A
"June 17, 2018",Vermont,Concord,"106 Woodward Rd",0,1,N/A
"June 17, 2018",Virginia,Vinton,"700 block of Pitt Ave",0,1,N/A
"June 17, 2018",Oregon,Foster,"Quartzville Rd",0,1,N/A
"June 17, 2018",Tennessee,Antioch,"Mt. View Road",0,1,N/A
"June 17, 2018",Tennessee,Knoxville,"7000 block of Hammer Rd",0,1,N/A
"June 17, 2018","North Dakota",Mayville,N/A,0,1,N/A
"June 16, 2018","New Hampshire",Litchfield,"200 block of Charles Bancroft Hwy",0,1,N/A
"June 16, 2018",Georgia,Athens,"285 Scandia Cir",0,1,N/A
"June 15, 2018",Colorado,"Steamboat Springs","Pine Grove Rd",0,1,N/A
"June 15, 2018",California,"Mammoth Lakes","Antelope Springs Rd",0,1,N/A
"June 15, 2018","District of Columbia",Washington,"801 G St SE",0,1,N/A
"June 15, 2018",Colorado,Loma,"1065 Old US Hwy 6 and 50",0,1,N/A
"June 14, 2018",Indiana,"North Vernon","400 block of N Elm St",0,1,N/A
"June 14, 2018","North Carolina",Raleigh,"121 E Tryon Road",0,1,N/A
"June 14, 2018",Oregon,Prineville,N/A,0,1,N/A
"June 14, 2018",Texas,Houston,"16613 Parkridge Court",0,1,N/A
"June 13, 2018",Colorado,"Colorado Springs","2500 block of Weston Road",0,1,N/A
"June 13, 2018",Virginia,Bluemont,"19844 Blue Ridge Mountain Rd",0,2,N/A
"June 12, 2018",Virginia,Henrico,"0 block of Craighill Rd",0,1,N/A
"June 12, 2018",Georgia,Dallas,"216 Recreation Dr",0,1,N/A
"June 12, 2018",Illinois,Chicago,"4700 block of W Cermak Rd",0,0,N/A
"June 12, 2018",Florida,"Cocoa (Port Saint John)","Rosebud St",0,1,N/A
"June 11, 2018",Pennsylvania,Columbia,"400 block of Walnut St",0,1,N/A
"June 10, 2018",Alabama,"Birmingham (Homewood)","900 block of Mansard Drive",0,1,N/A
"June 10, 2018",Idaho,Smelterville,"1700 Government Gulch Rd",0,1,N/A
"June 9, 2018",Tennessee,Harrogate,"Nevils St",0,1,N/A
"June 9, 2018",Texas,Roby,N/A,0,1,N/A
"June 9, 2018",Tennessee,Buchanan,"300 Eagle Creek Dr",0,1,N/A
"June 8, 2018",Florida,"Vero Beach","1707 16th St",0,1,N/A
"June 7, 2018",Wisconsin,"Union Grove","1400 West St",0,1,N/A
"June 7, 2018",Florida,Orlando,"S Orange Ave",0,1,N/A
"June 6, 2018",Kansas,Sawyer,"110275 SE 70th Avenue",0,1,N/A
"June 6, 2018",Kentucky,Campbellsville,"1409 S Columbia Ave",0,1,N/A
"June 6, 2018",Oklahoma,Lexington,N/A,0,1,N/A
"June 6, 2018",Georgia,Albany,"2719 Pointe N Blvd",0,1,N/A
"June 6, 2018",Ohio,Columbus,"4215 Clime Rd",0,1,N/A
"June 5, 2018","South Carolina",Greenville,"1500 block of Laurens Rd",0,1,N/A
"June 5, 2018",Washington,Everett,"17 W Casino Rd",0,1,N/A
"June 5, 2018",Texas,Borger,"TX 207 and Franklin St",1,1,N/A
"June 5, 2018",Massachusetts,Lynn,"48 Brimblecom St",0,1,N/A
"June 4, 2018",Mississippi,Brookhaven,"Henry Myers St",0,1,N/A
"June 4, 2018",Washington,Yakima,"6900 block of Ahtanum Rd",0,1,N/A
"June 4, 2018",Virginia,Richmond,"1600 block of Dena Dr",0,1,N/A
"June 4, 2018","South Carolina",Spartanburg,"Rice St",0,1,N/A
"June 4, 2018",Illinois,"Chicago Heights (Ford Heights)","1100 block of Drexel Ave",0,1,N/A
"June 4, 2018",Michigan,Flint,N/A,0,1,N/A
"June 3, 2018",Georgia,Brunswick,"Vernon Lewis Way",0,1,N/A
"June 3, 2018",California,"San Diego","C Street and Second Avenue",0,1,N/A
"June 2, 2018",Mississippi,Meridian,"2100 block of 43rd Ave",0,1,N/A
"June 2, 2018","South Carolina",Gaffney,"Oakland Ave",0,1,N/A
"June 2, 2018",Wisconsin,Racine,N/A,0,1,N/A
"June 2, 2018",Wisconsin,Racine,"2100 block of Yout St",0,1,N/A
"June 2, 2018",Illinois,Chicago,"700 block of W Garfield Blvd",0,1,N/A
"June 2, 2018",Pennsylvania,Fredericktown,"30 Fariview Ln",0,1,N/A
"June 2, 2018",Colorado,Denver,"2201 Lawrence St",0,1,N/A
"June 1, 2018",Georgia,Brunswick,"1000 block of Pennick Dr",0,1,N/A
"June 1, 2018",Louisiana,Plaquemine,"Sherburne St",0,1,N/A
"June 1, 2018",Louisiana,"New Orleans","400 block of S White St",0,1,N/A
"June 1, 2018",Oklahoma,Tulsa,"N Quaker Ave",0,1,N/A
"June 1, 2018",Louisiana,Opelousas,N/A,0,1,N/A
"May 31, 2018",Texas,"Corpus Christi","9600 block of Paula Dr",0,1,N/A
"May 31, 2018","North Carolina",Greenville,"3000 S Memorial Dr",0,1,N/A
"May 31, 2018",Indiana,"South Bend","500 block of Carroll St",0,1,N/A
"May 30, 2018",Massachusetts,Athol,"280 Exchange St",0,1,N/A
"May 30, 2018",Mississippi,Meridian,"200 N Hills St",0,1,N/A
"May 30, 2018","New York",Utica,"1115 St Vincent St",0,2,N/A
"May 29, 2018",Pennsylvania,Erie,"8180 Perry Hwy",0,1,N/A
"May 29, 2018",Indiana,"South Bend","1200 block of N Johnson St",0,1,N/A
"May 28, 2018",Alabama,Huntsville,"3609 Penny St SW",0,2,N/A
"May 28, 2018",Indiana,Howe,"1000 East 600 North",0,1,N/A
"May 28, 2018",Louisiana,Shreveport,"3700 block of Hardy St",0,0,N/A
"May 28, 2018",Ohio,Miamisburg,"10749 Innovation Dr",0,1,N/A
"May 28, 2018",Illinois,Chicago,"9900 block of S Peoria St",0,1,N/A
"May 28, 2018",Georgia,Smyrna,"2221 Corporate Plaza Pkwy SE",0,1,N/A
"May 27, 2018",Ohio,Cleveland,"W Saint Clair Ave and W 3rd St",0,1,N/A
"May 27, 2018",Illinois,Chicago,"5600 block of S Honore St",0,1,N/A
"May 26, 2018",Michigan,"Battle Creek","Harris St",0,1,N/A
"May 26, 2018",Louisiana,Thibodaux,"200 block of Main Project Rd",0,0,N/A
"May 26, 2018","South Carolina","Rock Hill","Simrill St",0,1,N/A
"May 26, 2018","West Virginia",Charleston,"1300 block of Stuart St",0,1,N/A
"May 26, 2018",Arizona,Phoenix,"E Ray Rd and S 48th St",0,2,N/A
"May 25, 2018",Tennessee,Memphis,"5054 Wooddale Avenue",0,1,N/A
"May 25, 2018",Texas,Waco,"1925 Ethel Ave",0,1,N/A
"May 25, 2018","New Hampshire",Manchester,"100 block of Taylor St",0,1,N/A
"May 25, 2018","North Carolina",Mooresville,"125 Morlake Dr",0,1,N/A
"May 25, 2018",Florida,Bradenton,"600 block of 64th Ave E",0,1,N/A
