State,City Or County,Address,# Killed,# Injured,Operations,"August 17, 2018","August 16, 2018","August 15, 2018","August 13, 2018","August 12, 2018","August 11, 2018","August 10, 2018","August 9, 2018","August 8, 2018","August 7, 2018","August 5, 2018","August 4, 2018","August 3, 2018","August 2, 2018","August 1, 2018","July 31, 2018","July 30, 2018","July 29, 2018","July 28, 2018","July 27, 2018","July 26, 2018","July 25, 2018","July 24, 2018","July 23, 2018","July 22, 2018","July 21, 2018","July 20, 2018","July 19, 2018","July 18, 2018","July 16, 2018","July 15, 2018","July 14, 2018","July 13, 2018","July 12, 2018","July 11, 2018","July 10, 2018","July 9, 2018","July 8, 2018","July 7, 2018","July 6, 2018","July 5, 2018","July 4, 2018","July 3, 2018","July 2, 2018","July 1, 2018","June 30, 2018","June 29, 2018","June 28, 2018","June 27, 2018","June 26, 2018","June 24, 2018","June 23, 2018","June 22, 2018","June 21, 2018","June 20, 2018","June 19, 2018","June 18, 2018","June 17, 2018","June 16, 2018","June 15, 2018","June 14, 2018","June 13, 2018","June 12, 2018","June 11, 2018","June 10, 2018","June 9, 2018","June 8, 2018","June 7, 2018","June 6, 2018","June 5, 2018","June 4, 2018","June 3, 2018","June 2, 2018","June 1, 2018","May 31, 2018","May 30, 2018","May 29, 2018","May 28, 2018","May 27, 2018","May 26, 2018","May 25, 2018","May 24, 2018","May 23, 2018","May 22, 2018","May 21, 2018","May 20, 2018","May 19, 2018","May 18, 2018","May 17, 2018","May 16, 2018","May 15, 2018","May 13, 2018","May 12, 2018","May 11, 2018","May 10, 2018","May 9, 2018","May 8, 2018","May 6, 2018","May 5, 2018","May 4, 2018","May 2, 2018","May 1, 2018","April 30, 2018","April 29, 2018","April 28, 2018","April 27, 2018","April 26, 2018","April 25, 2018","April 24, 2018","April 22, 2018","April 21, 2018","April 19, 2018","April 18, 2018","April 17, 2018","April 16, 2018","April 15, 2018","April 14, 2018","April 13, 2018","April 12, 2018","April 11, 2018","April 10, 2018","April 9, 2018","April 8, 2018","April 7, 2018","April 6, 2018","April 5, 2018","April 4, 2018","April 3, 2018","April 2, 2018","April 1, 2018","March 31, 2018","March 30, 2018","March 29, 2018","March 28, 2018","March 27, 2018","March 26, 2018","March 25, 2018","March 24, 2018","March 23, 2018","March 22, 2018","March 21, 2018","March 20, 2018","March 19, 2018","March 18, 2018","March 17, 2018","March 15, 2018","March 13, 2018","March 12, 2018","March 11, 2018","March 10, 2018","March 9, 2018"
South Carolina,Cordova,,0,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,Lexington,1201 W Main St,0,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,Pigeon Forge,,0,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,Dillingham,Snake Lake Rd,0,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Virginia,Grafton,W Main St,0,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Hampshire,Manchester,39 Walnut St,0,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,Bremerton,West Belfair Valley Rd,0,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michigan,Detroit,12000 block of Laing,0,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,Toledo,3700 block of N Erie St,0,2,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,Toledo,200 block of Van Buren Ave,0,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
