Incident Date,State,City Or County,# Incidents
May,Maryland,Dundalk,1.0
March,California,Seaside,1.0
August,New York,Glen Cove,1.0
April,Florida,Melbourne,1.0
July,Virginia,Portsmouth,1.0
October,Tennessee,Nashville,1.0
November,New Hampshire,Exeter (Brentwood),1.0
May,Virginia,Louisa,1.0
June,Ohio,Dayton,1.0
May,Pennsylvania,Philadelphia,1.0
July,Texas,San Antonio,1.0
June,Arkansas,Flippin,1.0
April,New Jersey,Hope (Knowlton Township),1.0
May,Texas,Jefferson,2.0
April,Virginia,Roanoke,1.0
June,Idaho,Cataldo,1.0
April,West Virginia,Shepherdstown,1.0
March,Connecticut,New Haven,1.0
July,Illinois,Chicago (Englewood),1.0
November,Tennessee,Memphis (Hickory Hill),1.0
April,Pennsylvania,Philadelphia,1.0
April,Illinois,Lansing,1.0
May,Georgia,Albany,1.0
July,Oklahoma,Oklahoma City,1.0
April,District of Columbia,Washington,1.0
July,Missouri,Saint Louis,1.0
July,Virginia,Alexandria,1.0
April,Ohio,Youngstown,1.0
April,North Carolina,Greensboro,1.0
June,Florida,Melbourne,1.0
May,California,Compton,1.0
June,Washington,Everett,1.0
July,Texas,Houston,1.0
April,Ohio,Elyria,1.0
June,Michigan,Clinton,1.0
April,Florida,Winter Garden,1.0
July,Kentucky,Richmond,1.0
May,West Virginia,Huntington,1.0
September,Georgia,Augusta,1.0
October,Tennessee,Clarksville,1.0
May,Oklahoma,Tulsa,1.0
May,Texas,Rockwall,1.0
August,South Carolina,Cordova,1.0
June,New York,Bronx,1.0
July,Connecticut,Hartford,1.0
March,South Dakota,Aberdeen,2.0
June,West Virginia,Charleston (Cross Lanes),2.0
October,Alabama,Cullman,1.0
May,Ohio,Cleveland,1.0
April,New York,Syracuse,1.0
October,Georgia,Atlanta,1.0
November,Alabama,Adger,1.0
June,Georgia,Savannah,1.0
May,Tennessee,Memphis,1.0
July,Virginia,Roanoke (Hollins),1.0
June,Louisiana,Oakdale,1.0
September,Tennessee,Springfield,1.0
October,Oklahoma,Wynnewood,1.0
May,Tennessee,Parrottsville,1.0
October,Georgia,Augusta,1.0
June,North Carolina,Lumberton,1.0
March,Illinois,Oreana,2.0
April,South Carolina,Summerville,1.0
July,Colorado,Colorado Springs,1.0
March,Texas,Beaumont,1.0
July,Kentucky,Louisville,1.0
November,Ohio,Republic,1.0
December,California,Ontario,1.0
