State,City Or County,# Incidents
Ohio,Cincinnati,4.0
Tennessee,Lawrenceburg,1.0
Alabama,Huntsville,7.0
Montana,Hungry Horse,1.0
North Dakota,Minot,1.0
Utah,Tooele,1.0
Michigan,Grand Rapids,1.0
Pennsylvania,Pittsburgh (Bloomfield),1.0
Washington,Federal Way,2.0
Pennsylvania,Reading,1.0
Arizona,Queen Creek,1.0
California,Scotts Valley,1.0
Washington,Cle Elum,1.0
Wisconsin,Ontario,1.0
South Carolina,Sumter,2.0
Ohio,Barberton,2.0
New York,Fort Drum,1.0
Florida,Vero Beach,2.0
Arkansas,Conway,1.0
Florida,Wildwood,1.0
Ohio,Ashtabula,2.0
Colorado,Olathe,1.0
Ohio,Tipp City,1.0
Ohio,Newark,2.0
Texas,Cypress,2.0
Texas,Wichita Falls,1.0
Tennessee,Goodlettsville,1.0
Tennessee,Parrottsville,1.0
Virginia,Lynchburg,1.0
West Virginia,Grafton,1.0
Louisiana,Pitkin,1.0
Illinois,Mount Vernon,1.0
Connecticut,Hartford,2.0
West Virginia,New Martinsville,1.0
Mississippi,Jackson,3.0
Mississippi,De Kalb,1.0
California,Red Bluff,1.0
Florida,Dunedin,1.0
South Carolina,Summerville,1.0
Ohio,Youngstown,2.0
Colorado,Colorado Springs,5.0
Missouri,Festus,1.0
Kentucky,Nicholasville,1.0
Idaho,Deary,1.0
Florida,Deltona,1.0
Wisconsin,Waupaca,1.0
Virginia,Portsmouth,1.0
Arizona,Tucson,1.0
Minnesota,Saint Paul,1.0
Connecticut,Wethersfield,1.0
Ohio,Cleveland,5.0
South Carolina,Cordova,1.0
Texas,Kountze,1.0
Florida,Miami Beach,2.0
Louisiana,Plaquemine,2.0
Virginia,Unionville,1.0
Maine,Scarborough,1.0
Pennsylvania,Fredericktown,1.0
Texas,Corpus Christi,5.0
Florida,Port Charlotte,1.0
Arkansas,Little Rock,4.0
Florida,Palm Bay,1.0
Alabama,Anniston,1.0
Oregon,Blue River,1.0
California,Santa Maria,1.0
Colorado,Lafayette,1.0
Ohio,West Chester,1.0
Indiana,Campbellsburg,1.0
Texas,Bacliff,1.0
Virginia,Alexandria,1.0
Mississippi,Horn Lake,3.0
Ohio,Cleveland (Parma),1.0
South Carolina,Florence,2.0
Alabama,Cedar Bluff,1.0
Michigan,Battle Creek,2.0
Mississippi,Edwards,1.0
South Carolina,Anderson,1.0
Washington,Bremerton,1.0
Georgia,Atlanta,4.0
Florida,Eustis,1.0
Tennessee,Lexington,1.0
North Carolina,Greensboro,1.0
Texas,El Paso,3.0
Indiana,Holton,1.0
Louisiana,Farmerville (Rocky Branch),1.0
Wisconsin,Sparta,1.0
North Dakota,Mayville,1.0
Tennessee,La Follette (LaFollette),1.0
Florida,Winter Garden,1.0
Michigan,Warren,1.0
Texas,Roby,1.0
Mississippi,Brookhaven,1.0
Florida,Pinellas Park,1.0
Kentucky,Bell (county),1.0
Alaska,Manokotak,1.0
Tennessee,Big Rock,1.0
Virginia,Richmond,7.0
Maryland,Edgewood,1.0
Wisconsin,Menasha,1.0
Missouri,Saint Louis (University City),1.0
West Virginia,Morgantown,1.0
California,Twentynine Palms (Twentynine Palms Mcb),2.0
Massachusetts,Athol,1.0
Ohio,Warren,1.0
South Carolina,Beaufort,1.0
Washington,Pe Ell,1.0
Louisiana,Westwego (Bridge City),1.0
Ohio,Miamisburg,3.0
Wisconsin,Racine,5.0
District of Columbia,Washington,3.0
Ohio,Toledo,4.0
Mississippi,Saucier,1.0
Maine,Baldwin,1.0
Utah,Salt Lake City (West Valley City),5.0
Texas,Diboll (Burke),1.0
Alaska,Anchorage,3.0
New York,Yonkers,1.0
Mississippi,Falkner,1.0
Alabama,Winston (county),1.0
Kentucky,Coal Run,1.0
Texas,San Antonio,13.0
California,Ontario,1.0
Texas,Houston,16.0
Iowa,Westgate,1.0
Nevada,Reno,1.0
Tennessee,Pigeon Forge,1.0
West Virginia,Charleston (Cross Lanes),2.0
Wisconsin,Loganville,1.0
South Carolina,Columbia,6.0
Florida,Miami (Doral),1.0
Georgia,Dallas,2.0
Arkansas,El Dorado,2.0
Kansas,Sawyer,1.0
Iowa,Des Moines,4.0
Arizona,Phoenix,5.0
Texas,Haltom City,1.0
Florida,Bay (county),1.0
Texas,Madisonville,1.0
Kansas,Salina,1.0
South Carolina,Clio,1.0
Florida,Marianna,1.0
California,Bakersfield,2.0
