,Incident Date,State,City Or County,# Killed,# Injured
0,"August 17, 2018",Louisiana,West Monroe,1.0,0
1,"August 16, 2018",Virginia,Richmond,1.0,0
2,"August 15, 2018",Kentucky,Louisville,1.0,0
3,"August 15, 2018",Ohio,Columbus,1.0,0
4,"August 14, 2018",Michigan,Pontiac,1.0,0
5,"August 14, 2018",Washington,Seattle (Burien),1.0,0
6,"August 11, 2018",Kentucky,Corbin,1.0,0
7,"August 10, 2018",Michigan,Detroit,1.0,0
8,"August 9, 2018",Ohio,Barberton,1.0,0
9,"August 8, 2018",Tennessee,La Follette (LaFollette),1.0,0
10,"August 5, 2018",Texas,Weatherford,1.0,0
11,"August 4, 2018",Tennessee,Big Rock,1.0,0
12,"August 3, 2018",Alabama,Winston (county),1.0,0
13,"August 3, 2018",Delaware,Wilmington,1.0,0
14,"July 28, 2018",Georgia,Savannah,1.0,0
15,"July 28, 2018",Missouri,Florissant (Black Jack),1.0,0
16,"July 27, 2018",North Carolina,Marion,1.0,0
17,"July 27, 2018",Arkansas,Benton (Haskell),1.0,0
18,"July 27, 2018",Alaska,Anchorage,1.0,0
19,"July 26, 2018",Arkansas,Cotton Plant (Maberry),1.0,0
20,"July 24, 2018",Maine,Oakland,1.0,0
21,"July 24, 2018",Texas,Conroe,1.0,0
22,"July 20, 2018",California,San Bernardino (Muscoy),1.0,0
23,"July 20, 2018",Oregon,Rocky Point,1.0,0
24,"July 15, 2018",Ohio,Cleveland,1.0,0
25,"July 15, 2018",Oklahoma,Bethany,1.0,0
26,"July 14, 2018",Michigan,Muskegon (Muskegon Heights),1.0,0
27,"July 13, 2018",Indiana,Salem,1.0,0
28,"July 12, 2018",Georgia,Warner Robins,1.0,0
29,"July 10, 2018",Oklahoma,Oklahoma City,1.0,0
30,"July 9, 2018",Michigan,Pontiac,1.0,0
31,"July 8, 2018",Texas,Houston,1.0,0
32,"July 8, 2018",Georgia,Columbus,1.0,0
33,"July 7, 2018",Missouri,Columbia,1.0,0
34,"July 7, 2018",Georgia,Augusta,1.0,0
35,"July 7, 2018",California,Fresno,1.0,0
36,"July 5, 2018",Washington,Kent (Covington),1.0,0
37,"July 5, 2018",Louisiana,Chalmette,1.0,0
38,"July 5, 2018",Virginia,Alexandria,1.0,0
39,"July 4, 2018",Tennessee,Woodbury,1.0,0
40,"July 4, 2018",Colorado,Fort Collins,1.0,0
41,"July 3, 2018",Georgia,Roswell,1.0,1
42,"July 2, 2018",Tennessee,Chattanooga,1.0,0
43,"July 2, 2018",Missouri,Hartville,1.0,0
44,"June 30, 2018",Kansas,Wichita,1.0,0
45,"June 30, 2018",Mississippi,Carthage,1.0,0
46,"June 29, 2018",Texas,Beaumont,1.0,0
47,"June 27, 2018",Georgia,Lagrange,1.0,0
48,"June 27, 2018",Georgia,Savannah,1.0,0
49,"June 26, 2018",Missouri,Monett,1.0,0
50,"June 26, 2018",Massachusetts,Dighton,1.0,0
51,"June 23, 2018",New York,Bronx,1.0,0
52,"June 23, 2018",Louisiana,Oakdale,1.0,0
53,"June 23, 2018",North Carolina,Haw River,1.0,0
54,"June 20, 2018",Alabama,Lafayette,1.0,0
55,"June 13, 2018",Wisconsin,Madison,1.0,0
56,"June 13, 2018",South Dakota,Keystone,1.0,0
57,"June 13, 2018",Arkansas,Flippin,1.0,0
58,"June 12, 2018",Tennessee,Memphis,1.0,0
59,"June 12, 2018",Missouri,Saint Joseph,1.0,0
60,"June 11, 2018",North Carolina,Taylorsville,1.0,0
61,"June 8, 2018",Texas,Big Spring,1.0,0
62,"June 7, 2018",Mississippi,Greenville,1.0,0
63,"June 7, 2018",Texas,Beaumont,1.0,0
64,"June 7, 2018",Oregon,Silver Lake,1.0,0
65,"June 6, 2018",Georgia,Riverdale,1.0,0
66,"June 5, 2018",Kentucky,Elizabethtown,1.0,0
67,"June 5, 2018",Arizona,Glendale,1.0,0
68,"June 4, 2018",Ohio,Dayton,1.0,0
69,"June 4, 2018",Indiana,Lebanon,1.0,0
70,"June 3, 2018",Washington,Bellevue,1.0,0
71,"June 1, 2018",Washington,Seattle (Seatac),1.0,0
72,"May 31, 2018",Washington,Federal Way,1.0,0
73,"May 30, 2018",Nevada,Las Vegas,1.0,0
