,Incident Date,State,City Or County,# Killed,# Injured
0,"August 17, 2018",South Carolina,Cordova,0,1.0
1,"August 17, 2018",South Carolina,Lexington,0,1.0
2,"August 17, 2018",Tennessee,Pigeon Forge,0,1.0
3,"August 17, 2018",Alaska,Dillingham,0,1.0
4,"August 16, 2018",West Virginia,Grafton,0,1.0
5,"August 16, 2018",New Hampshire,Manchester,0,1.0
6,"August 15, 2018",Washington,Bremerton,0,1.0
7,"August 13, 2018",Michigan,Detroit,0,1.0
8,"August 13, 2018",Ohio,Toledo,0,2.0
9,"August 13, 2018",Ohio,Toledo,0,1.0
10,"August 13, 2018",Texas,Nome,0,1.0
11,"August 12, 2018",South Carolina,Beaufort,0,1.0
13,"August 12, 2018",Ohio,Caldwell,0,1.0
14,"August 12, 2018",Illinois,Chicago,0,1.0
15,"August 11, 2018",Michigan,Jackson,0,1.0
16,"August 10, 2018",Texas,San Antonio,0,1.0
17,"August 10, 2018",Iowa,Des Moines,0,1.0
18,"August 9, 2018",California,Red Bluff,0,1.0
19,"August 9, 2018",California,Salinas,0,1.0
20,"August 9, 2018",Ohio,Lancaster,0,1.0
21,"August 9, 2018",North Dakota,Williston,0,1.0
22,"August 8, 2018",Texas,San Antonio,0,1.0
23,"August 8, 2018",North Carolina,Forest City,1,1.0
24,"August 7, 2018",Tennessee,Murfreesboro,0,2.0
25,"August 7, 2018",Michigan,Detroit,0,1.0
26,"August 5, 2018",Mississippi,Hattiesburg,0,1.0
27,"August 5, 2018",Washington,Seattle (Burien),0,3.0
28,"August 4, 2018",New Jersey,Fair Lawn,0,2.0
29,"August 4, 2018",South Carolina,Columbia,0,1.0
30,"August 4, 2018",California,Carlsbad,1,2.0
31,"August 4, 2018",Louisiana,Shreveport,0,2.0
32,"August 3, 2018",Idaho,Nampa,0,1.0
33,"August 3, 2018",Indiana,Indianapolis,0,1.0
34,"August 3, 2018",Ohio,Ashtabula,0,1.0
35,"August 3, 2018",Texas,Bryan,0,1.0
36,"August 2, 2018",Kansas,Kinsley,0,1.0
38,"August 2, 2018",Illinois,Chicago,0,1.0
39,"August 2, 2018",Texas,San Antonio,0,3.0
40,"August 1, 2018",Texas,El Paso,0,1.0
41,"August 1, 2018",Indiana,South Bend,0,1.0
42,"August 1, 2018",Georgia,Columbus,0,1.0
43,"July 31, 2018",Texas,Tomball,0,1.0
44,"July 31, 2018",Tennessee,Murfreesboro,0,1.0
45,"July 31, 2018",Indiana,Anderson,0,1.0
46,"July 31, 2018",Kentucky,Berea,0,1.0
47,"July 30, 2018",Maine,Lewiston,0,1.0
48,"July 30, 2018",Wisconsin,Milwaukee,0,2.0
49,"July 29, 2018",Kansas,Lenexa,0,1.0
50,"July 29, 2018",Virginia,Portsmouth,0,1.0
51,"July 29, 2018",Michigan,Alto,0,1.0
52,"July 28, 2018",Virginia,Richmond,0,1.0
53,"July 28, 2018",Georgia,Newnan,0,1.0
54,"July 27, 2018",Colorado,Castle Rock,0,1.0
55,"July 27, 2018",Florida,Miami (Doral),0,1.0
56,"July 26, 2018",Florida,Eustis,0,1.0
57,"July 26, 2018",Missouri,Columbia,0,1.0
58,"July 25, 2018",Missouri,Saint Louis,0,1.0
59,"July 25, 2018",Texas,Houston,0,1.0
60,"July 25, 2018",Virginia,Chesapeake,0,1.0
61,"July 25, 2018",Tennessee,Antioch,0,1.0
62,"July 25, 2018",Kentucky,Richmond,0,1.0
63,"July 24, 2018",Massachusetts,Amherst,0,1.0
64,"July 24, 2018",California,Farmersville,1,2.0
65,"July 24, 2018",Virginia,Lynchburg,0,1.0
66,"July 24, 2018",Ohio,Cincinnati,0,2.0
67,"July 24, 2018",Missouri,Saint Louis,0,1.0
68,"July 24, 2018",Texas,San Antonio,0,1.0
69,"July 23, 2018",California,Long Beach,0,1.0
70,"July 22, 2018",Virginia,Roanoke (Hollins),0,1.0
71,"July 22, 2018",Maryland,Hagerstown,0,1.0
72,"July 22, 2018",Ohio,Cleveland,0,1.0
73,"July 22, 2018",Alabama,Samson,0,2.0
74,"July 21, 2018",Michigan,Detroit,0,1.0
75,"July 21, 2018",New York,Bronx,0,3.0
76,"July 21, 2018",Wisconsin,Milwaukee,0,1.0
77,"July 21, 2018",Massachusetts,Topsfield,0,1.0
78,"July 21, 2018",South Carolina,Inman,0,2.0
79,"July 20, 2018",Texas,Mcallen,0,1.0
80,"July 20, 2018",Alabama,Cedar Bluff,0,1.0
81,"July 20, 2018",Tennessee,Knoxville,0,1.0
82,"July 20, 2018",West Virginia,Morgantown,0,1.0
83,"July 20, 2018",Texas,Mcallen,0,1.0
84,"July 19, 2018",Vermont,Wells River,0,1.0
85,"July 19, 2018",Mississippi,Corinth,0,1.0
86,"July 18, 2018",Louisiana,New Orleans,0,1.0
87,"July 18, 2018",Florida,Dunedin,0,1.0
88,"July 18, 2018",Massachusetts,West Springfield,0,1.0
89,"July 18, 2018",Texas,Premont,0,1.0
90,"July 16, 2018",Colorado,Colorado Springs,0,1.0
91,"July 15, 2018",Georgia,Lindale,0,2.0
92,"July 15, 2018",Mississippi,Greenville,0,1.0
93,"July 15, 2018",Mississippi,Hattiesburg,0,1.0
94,"July 14, 2018",Oklahoma,Davis,0,1.0
95,"July 14, 2018",Tennessee,Knoxville,0,1.0
96,"July 14, 2018",Florida,Lake Wales,0,2.0
97,"July 13, 2018",Wisconsin,Madison,0,1.0
98,"July 13, 2018",North Dakota,Minot,0,1.0
99,"July 13, 2018",North Carolina,Charlotte,0,1.0
100,"July 12, 2018",Tennessee,Ashland City,0,1.0
101,"July 12, 2018",Wisconsin,Russell,0,1.0
102,"July 12, 2018",Georgia,Macon,0,1.0
103,"July 11, 2018",Louisiana,New Orleans,0,1.0
104,"July 11, 2018",Louisiana,Lake Charles,0,1.0
105,"July 11, 2018",Oregon,Umatilla,0,1.0
106,"July 11, 2018",Michigan,Coldwater,0,1.0
107,"July 11, 2018",Texas,San Antonio,0,1.0
108,"July 11, 2018",Maine,Ellsworth,0,1.0
109,"July 10, 2018",Virginia,Hampton,0,1.0
110,"July 10, 2018",Texas,Cypress,0,1.0
111,"July 10, 2018",Colorado,Colorado Springs,0,1.0
112,"July 9, 2018",South Carolina,Mount Pleasant,0,1.0
113,"July 9, 2018",Texas,San Antonio,0,1.0
114,"July 8, 2018",Texas,San Antonio,0,1.0
115,"July 8, 2018",Louisiana,Harvey,0,1.0
116,"July 8, 2018",Iowa,Des Moines,0,2.0
117,"July 8, 2018",Iowa,Waterloo,0,1.0
118,"July 7, 2018",Kansas,Wichita,0,1.0
119,"July 7, 2018",Kentucky,Shelbyville,0,1.0
120,"July 7, 2018",South Carolina,Myrtle Beach,0,1.0
121,"July 6, 2018",Ohio,Cleveland,0,1.0
123,"July 5, 2018",Oklahoma,Tulsa,0,1.0
124,"July 5, 2018",Texas,Killeen,0,1.0
125,"July 4, 2018",Florida,Tampa,0,1.0
126,"July 4, 2018",Washington,Renton,0,1.0
127,"July 4, 2018",Tennessee,Morristown,0,1.0
128,"July 4, 2018",Florida,Boynton Beach,0,1.0
129,"July 4, 2018",Pennsylvania,Ephrata,0,2.0
130,"July 4, 2018",Texas,Houston,0,1.0
131,"July 4, 2018",Connecticut,Hartford,0,1.0
132,"July 4, 2018",Idaho,Idaho Falls,0,1.0
133,"July 4, 2018",South Carolina,Florence,0,2.0
134,"July 3, 2018",Georgia,Roswell,1,1.0
135,"July 3, 2018",Colorado,Colorado Springs,0,1.0
136,"July 2, 2018",Illinois,Chicago,0,1.0
137,"July 2, 2018",Mississippi,Saucier,0,1.0
138,"July 1, 2018",Wisconsin,Racine,0,1.0
139,"July 1, 2018",Utah,Tooele,0,1.0
140,"July 1, 2018",Missouri,Columbia,0,1.0
141,"July 1, 2018",New York,Rochester,0,1.0
142,"July 1, 2018",Maine,Portland,0,2.0
143,"June 30, 2018",Tennessee,Nashville,0,1.0
144,"June 30, 2018",Tennessee,Nashville,0,1.0
145,"June 30, 2018",Virginia,Richmond,0,1.0
146,"June 30, 2018",Ohio,Shadyside,0,1.0
147,"June 29, 2018",North Carolina,Lumberton,0,1.0
148,"June 29, 2018",Texas,Bryan,0,1.0
149,"June 29, 2018",Tennessee,Lexington,0,1.0
150,"June 28, 2018",South Carolina,Columbia,0,1.0
151,"June 28, 2018",Wisconsin,Racine,0,1.0
152,"June 28, 2018",Kansas,Salina,0,1.0
153,"June 27, 2018",Ohio,Columbus,0,2.0
154,"June 27, 2018",Missouri,Saint Louis,0,1.0
155,"June 26, 2018",Louisiana,Shreveport,0,1.0
156,"June 26, 2018",Virginia,Stafford,0,1.0
157,"June 26, 2018",Nevada,Las Vegas,0,1.0
158,"June 26, 2018",Colorado,Colorado Springs,0,1.0
159,"June 24, 2018",Oklahoma,Oklahoma City,0,1.0
160,"June 24, 2018",Connecticut,Waterbury,0,1.0
161,"June 24, 2018",Florida,Melbourne,0,1.0
162,"June 24, 2018",Nevada,Las Vegas,0,3.0
163,"June 23, 2018",South Carolina,Myrtle Beach,0,1.0
164,"June 23, 2018",Wisconsin,Milwaukee,0,1.0
165,"June 23, 2018",Louisiana,Port Barre,0,1.0
166,"June 23, 2018",Louisiana,Shreveport,0,1.0
167,"June 22, 2018",Idaho,Cataldo,0,1.0
168,"June 22, 2018",Michigan,Grand Rapids,0,1.0
169,"June 21, 2018",West Virginia,Charleston (Cross Lanes),0,2.0
170,"June 21, 2018",Ohio,Toledo,0,1.0
171,"June 21, 2018",Indiana,Gary,0,1.0
172,"June 21, 2018",California,Fresno,0,1.0
173,"June 20, 2018",New York,Wurtsboro,0,1.0
174,"June 19, 2018",Virginia,Henrico,0,1.0
175,"June 19, 2018",Iowa,Iowa City,0,1.0
176,"June 18, 2018",Illinois,Mount Vernon,0,1.0
177,"June 18, 2018",Ohio,Cleveland,0,1.0
178,"June 18, 2018",Pennsylvania,Harrisburg,0,1.0
179,"June 17, 2018",Vermont,Concord,0,1.0
180,"June 17, 2018",Virginia,Vinton,0,1.0
181,"June 17, 2018",Oregon,Foster,0,1.0
182,"June 17, 2018",Tennessee,Antioch,0,1.0
183,"June 17, 2018",Tennessee,Knoxville,0,1.0
184,"June 17, 2018",North Dakota,Mayville,0,1.0
185,"June 16, 2018",New Hampshire,Litchfield,0,1.0
186,"June 16, 2018",Georgia,Athens,0,1.0
187,"June 15, 2018",Colorado,Steamboat Springs,0,1.0
188,"June 15, 2018",California,Mammoth Lakes,0,1.0
189,"June 15, 2018",District of Columbia,Washington,0,1.0
190,"June 15, 2018",Colorado,Loma,0,1.0
191,"June 14, 2018",Indiana,North Vernon,0,1.0
192,"June 14, 2018",North Carolina,Raleigh,0,1.0
193,"June 14, 2018",Oregon,Prineville,0,1.0
194,"June 14, 2018",Texas,Houston,0,1.0
195,"June 13, 2018",Colorado,Colorado Springs,0,1.0
196,"June 13, 2018",Virginia,Bluemont,0,2.0
197,"June 12, 2018",Virginia,Henrico,0,1.0
198,"June 12, 2018",Georgia,Dallas,0,1.0
200,"June 12, 2018",Florida,Cocoa (Port Saint John),0,1.0
201,"June 11, 2018",Pennsylvania,Columbia,0,1.0
202,"June 10, 2018",Alabama,Birmingham (Homewood),0,1.0
203,"June 10, 2018",Idaho,Smelterville,0,1.0
204,"June 9, 2018",Tennessee,Harrogate,0,1.0
205,"June 9, 2018",Texas,Roby,0,1.0
206,"June 9, 2018",Tennessee,Buchanan,0,1.0
207,"June 8, 2018",Florida,Vero Beach,0,1.0
208,"June 7, 2018",Wisconsin,Union Grove,0,1.0
209,"June 7, 2018",Florida,Orlando,0,1.0
210,"June 6, 2018",Kansas,Sawyer,0,1.0
211,"June 6, 2018",Kentucky,Campbellsville,0,1.0
212,"June 6, 2018",Oklahoma,Lexington,0,1.0
213,"June 6, 2018",Georgia,Albany,0,1.0
214,"June 6, 2018",Ohio,Columbus,0,1.0
215,"June 5, 2018",South Carolina,Greenville,0,1.0
216,"June 5, 2018",Washington,Everett,0,1.0
217,"June 5, 2018",Texas,Borger,1,1.0
218,"June 5, 2018",Massachusetts,Lynn,0,1.0
219,"June 4, 2018",Mississippi,Brookhaven,0,1.0
220,"June 4, 2018",Washington,Yakima,0,1.0
221,"June 4, 2018",Virginia,Richmond,0,1.0
222,"June 4, 2018",South Carolina,Spartanburg,0,1.0
223,"June 4, 2018",Illinois,Chicago Heights (Ford Heights),0,1.0
224,"June 4, 2018",Michigan,Flint,0,1.0
225,"June 3, 2018",Georgia,Brunswick,0,1.0
226,"June 3, 2018",California,San Diego,0,1.0
227,"June 2, 2018",Mississippi,Meridian,0,1.0
228,"June 2, 2018",South Carolina,Gaffney,0,1.0
229,"June 2, 2018",Wisconsin,Racine,0,1.0
230,"June 2, 2018",Wisconsin,Racine,0,1.0
231,"June 2, 2018",Illinois,Chicago,0,1.0
232,"June 2, 2018",Pennsylvania,Fredericktown,0,1.0
233,"June 2, 2018",Colorado,Denver,0,1.0
234,"June 1, 2018",Georgia,Brunswick,0,1.0
235,"June 1, 2018",Louisiana,Plaquemine,0,1.0
236,"June 1, 2018",Louisiana,New Orleans,0,1.0
237,"June 1, 2018",Oklahoma,Tulsa,0,1.0
238,"June 1, 2018",Louisiana,Opelousas,0,1.0
239,"May 31, 2018",Texas,Corpus Christi,0,1.0
240,"May 31, 2018",North Carolina,Greenville,0,1.0
241,"May 31, 2018",Indiana,South Bend,0,1.0
242,"May 30, 2018",Massachusetts,Athol,0,1.0
243,"May 30, 2018",Mississippi,Meridian,0,1.0
244,"May 30, 2018",New York,Utica,0,2.0
245,"May 29, 2018",Pennsylvania,Erie,0,1.0
246,"May 29, 2018",Indiana,South Bend,0,1.0
247,"May 28, 2018",Alabama,Huntsville,0,2.0
248,"May 28, 2018",Indiana,Howe,0,1.0
250,"May 28, 2018",Ohio,Miamisburg,0,1.0
251,"May 28, 2018",Illinois,Chicago,0,1.0
252,"May 28, 2018",Georgia,Smyrna,0,1.0
253,"May 27, 2018",Ohio,Cleveland,0,1.0
254,"May 27, 2018",Illinois,Chicago,0,1.0
255,"May 26, 2018",Michigan,Battle Creek,0,1.0
257,"May 26, 2018",South Carolina,Rock Hill,0,1.0
258,"May 26, 2018",West Virginia,Charleston,0,1.0
259,"May 26, 2018",Arizona,Phoenix,0,2.0
260,"May 25, 2018",Tennessee,Memphis,0,1.0
261,"May 25, 2018",Texas,Waco,0,1.0
262,"May 25, 2018",New Hampshire,Manchester,0,1.0
263,"May 25, 2018",North Carolina,Mooresville,0,1.0
264,"May 25, 2018",Florida,Bradenton,0,1.0
265,"May 25, 2018",South Carolina,Mc Bee (Mcbee),0,1.0
266,"May 24, 2018",Ohio,Minford,0,1.0
267,"May 24, 2018",Louisiana,Monroe,0,1.0
268,"May 24, 2018",Indiana,Indianapolis,0,1.0
269,"May 23, 2018",Maine,Bath,0,1.0
270,"May 23, 2018",Maryland,Dundalk,0,1.0
271,"May 23, 2018",Georgia,Atlanta,0,1.0
272,"May 22, 2018",Washington,Pasco,0,1.0
273,"May 22, 2018",Oklahoma,Tulsa,0,1.0
